B0 type_load {'B': 11, 'C': 11, 'A': 10} sorties 32
CHECKPOINT P0001 COMMON_RAW_DATA_B0 0.735616415 {'J_late': 65501.00549024007, 'J_norm': 0.5125647900904743, 'makespan': 10570.82377657593, 'energy': 85.66393821918167, 'sorties': 32, 'source': 'P0001', 'global_optimum_proven': False}
POOL 1074 302 2828
CHECKPOINT P0002 PATTERN_JOINT_MILP 17.776111144 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0002', 'global_optimum_proven': False}
SOLVED R0001 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0002', 'global_optimum_proven': False}
CHECKPOINT P0003 PATTERN_JOINT_MILP 21.973202593 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0003', 'global_optimum_proven': False}
SOLVED R0002 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0003', 'global_optimum_proven': False}
CHECKPOINT P0004 PATTERN_JOINT_MILP 43.138934708 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0004', 'global_optimum_proven': False}
SOLVED R0003 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0004', 'global_optimum_proven': False}
CHECKPOINT P0005 PATTERN_JOINT_MILP 69.296469888 {'J_late': np.float64(161306.33064081066), 'J_norm': np.float64(0.6095717912500581), 'makespan': 10500.223196310551, 'energy': 101.84768382976152, 'sorties': 36, 'source': 'P0005', 'global_optimum_proven': False}
SOLVED R0004 {'J_late': np.float64(161306.33064081066), 'J_norm': np.float64(0.6095717912500581), 'makespan': 10500.223196310551, 'energy': 101.84768382976152, 'sorties': 36, 'source': 'P0005', 'global_optimum_proven': False}
CHECKPOINT P0006 PATTERN_JOINT_MILP 84.735813067 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0006', 'global_optimum_proven': False}
SOLVED R0005 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0006', 'global_optimum_proven': False}
CHECKPOINT P0007 PATTERN_JOINT_MILP 89.084253443 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0007', 'global_optimum_proven': False}
SOLVED R0006 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0007', 'global_optimum_proven': False}
CHECKPOINT P0008 PATTERN_JOINT_MILP 110.824134299 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0008', 'global_optimum_proven': False}
SOLVED R0007 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0008', 'global_optimum_proven': False}
CHECKPOINT P0009 PATTERN_JOINT_MILP 135.502657979 {'J_late': np.float64(161306.33064081066), 'J_norm': np.float64(0.6095717912500581), 'makespan': 10500.223196310551, 'energy': 101.84768382976152, 'sorties': 36, 'source': 'P0009', 'global_optimum_proven': False}
SOLVED R0008 {'J_late': np.float64(161306.33064081066), 'J_norm': np.float64(0.6095717912500581), 'makespan': 10500.223196310551, 'energy': 101.84768382976152, 'sorties': 36, 'source': 'P0009', 'global_optimum_proven': False}
CHECKPOINT P0010 PATTERN_JOINT_MILP 151.24051532 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0010', 'global_optimum_proven': False}
SOLVED R0009 {'J_late': 0.0, 'J_norm': np.float64(0.4696216925239111), 'makespan': 6454.839614277953, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0010', 'global_optimum_proven': False}
CHECKPOINT P0011 PATTERN_JOINT_MILP 155.530816694 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0011', 'global_optimum_proven': False}
SOLVED R0010 {'J_late': 0.0, 'J_norm': np.float64(0.49965359708683327), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0011', 'global_optimum_proven': False}
CHECKPOINT P0012 PATTERN_JOINT_MILP 175.755440742 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0012', 'global_optimum_proven': False}
SOLVED R0011 {'J_late': 0.0, 'J_norm': np.float64(0.5920896030098728), 'makespan': 9066.689422779444, 'energy': 97.60923777333414, 'sorties': 36, 'source': 'P0012', 'global_optimum_proven': False}
